OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
330,135204,1352.04,19993004.3408203,18737.6212809673
331,135205,1352.05,28456744.2734375,24915.6957303973
332,137000,1370.00,32407951.1669922,32602.3468769619
333,137103,1371.03,8177038.07617188,11777.6605056842
334,137104,1371.04,27605172.1972656,23404.4055803474
335,137202,1372.02,9364189.26660156,13002.3484876593
336,137203,1372.03,12099806.8574219,14510.4303068001
337,137301,1373.01,17325461.9248047,20267.8726127063
338,137302,1373.02,26336488.2773438,25068.0516352091
339,137401,1374.01,25590865.9667969,26377.214751617
340,137402,1374.02,33175391.2207031,30889.3711864673
341,137501,1375.01,27063405.6103516,24228.6463786956
342,137502,1375.02,22497691.046875,19258.4265640422
343,137504,1375.04,41305116.3925781,32874.7738747659
344,138000,1380.00,48135943.0859375,31253.1303791812
345,139001,1390.01,13344180.1474609,17734.5721919358
346,139200,1392.00,12399572.3603516,14017.097083946
347,139301,1393.01,30843790.9990234,26908.0938781223
348,139302,1393.02,3641075.10058594,7960.59053123008
349,139303,1393.03,4472901.07421875,9039.50143596545
350,139401,1394.01,9765085.11132812,12733.7083298454
351,139402,1394.02,26304322.7099609,28597.9891849559
352,139502,1395.02,11275140.0595703,16958.9414706593
353,139504,1395.04,3111312.44726562,8102.19468090092
354,139505,1395.05,1821398.8984375,6648.2808540079
355,139506,1395.06,1964296.140625,6284.29679001823
356,139600,1396.00,26665920.9003906,20761.2016729151
357,139701,1397.01,36582509.7783203,32947.2954490179
358,139703,1397.03,50898904.8691406,41376.8023175161
359,139704,1397.04,68360795.9892578,43907.4689228531
360,139705,1397.05,32758541.3212891,38575.4684431446
361,139801,1398.01,39466682.5029297,27776.5995197579
362,139802,1398.02,65400730.6728516,46975.2850151621
363,141101,1411.01,8170710.47851562,11728.9072151566
364,141102,1411.02,8383648.90527344,15328.3851232666
365,141201,1412.01,7545646.49609375,12115.153492718
366,141202,1412.02,7536244.17382812,12658.3323464217
367,141303,1413.03,2828156.85058594,7096.5091277902
368,141304,1413.04,7666046.19433594,14136.1390883809
369,141305,1413.05,7439679.34277344,11418.4436842719
370,141306,1413.06,6448497.14453125,12450.0875723788
371,141400,1414.00,21337124.7148438,19434.998195103
372,141500,1415.00,35251880.6005859,31415.4645454244
373,141600,1416.00,42034369.1679688,37482.0799094236
374,141700,1417.00,34917644.265625,31997.5277591458
375,143101,1431.01,14733761.9658203,18487.3960526764
376,143102,1431.02,4210680.7890625,8677.41842741655
377,143200,1432.00,10301572.9580078,14060.067521745
378,143301,1433.01,6246426.56152344,13124.0822363656
379,143302,1433.02,11157767.6171875,16035.8149750744
380,143401,1434.01,11938069.8261719,14981.8998450842
381,143402,1434.02,6976620.25195312,10582.3430893987
382,143500,1435.00,13327076.1669922,18907.6392948725
383,143602,1436.02,13131129.2431641,16670.5459184088
384,143603,1436.03,5655785.7265625,13494.0653406023
385,143605,1436.05,3544582.58789062,8243.70475374713
386,143606,1436.06,2619296.70019531,12326.4827842015
387,143700,1437.00,35385350.828125,37368.0936305005
388,143801,1438.01,15406756.2802734,21428.1249401871
389,143802,1438.02,12536514.8554688,31513.4254734712
390,143901,1439.01,56976916.5097656,42046.8521266008
391,143902,1439.02,27199022.8310547,34224.6936839833
392,181000,1810.00,44543384.6914062,37799.839552905
393,181300,1813.00,15510655.4414062,21437.949799137
394,181400,1814.00,9463031.484375,14429.0464634907
395,181500,1815.00,11778970.2695312,17895.1986095167
396,181600,1816.00,13454684.1074219,17952.9050944182
397,183101,1831.01,10418565.6845703,17031.553973705
398,183103,1831.03,7081005.55371094,19689.5537872587
399,183104,1831.04,7177217.01464844,16087.0880877278
400,183220,1832.20,5760984.87304688,13315.7455015623
401,183221,1832.21,7607138.70605469,12827.5737460207
402,183222,1832.22,9995845.45507812,16899.8414403632
403,183300,1833.00,5826344.37109375,10264.3216493239
404,183401,1834.01,5223873.28613281,10480.956055476
405,183402,1834.02,5526588.30078125,11220.1370045048
406,183510,1835.10,5386503.6015625,10456.9049521348
407,183520,1835.20,4603630.95117188,9181.87254041191
408,183610,1836.10,4075528.43066406,9804.40067433459
409,183620,1836.20,5569786.87792969,9445.37317487014
410,183701,1837.01,5929404.44628906,12531.3449564882
411,183702,1837.02,9605920.26855469,17111.3101744739
412,183810,1838.10,4896689.875,10289.0666252479
413,183820,1838.20,3322202.84667969,10487.5727045839
414,185101,1851.01,8773447.39355469,18663.5971410679
415,185102,1851.02,15746381.4853516,27682.7302030102
416,185202,1852.02,12978068.8486328,17415.3512103764
417,185203,1852.03,5899570.43457031,11949.3508202529
418,185204,1852.04,10372194.6445312,17362.7070074457
419,185310,1853.10,4532369.890625,12164.1790826459
420,185320,1853.20,5986319.31054688,12738.947774699
421,186100,1861.00,14499171.9052734,21970.2463285177
422,186201,1862.01,5618755.44628906,12105.6487361623
423,186202,1862.02,4394286.67871094,11049.8744788224
424,186203,1862.03,9070402.67480469,15825.6853726415
425,186301,1863.01,12491036.3857422,17918.9490824223
426,186302,1863.02,18139341.7753906,17905.2193543656
427,186401,1864.01,10370782.4453125,17895.7020932891
428,186403,1864.03,5872994.31640625,11992.5629375342
429,186404,1864.04,4317771.04492188,8867.00099955054
430,187101,1871.01,8483179.29980469,12910.6073876595
431,187102,1871.02,23579786.2675781,38378.6991937068
432,187200,1872.00,10239846.9238281,15559.6561392198
433,187300,1873.00,12580918.2958984,19454.9128908917
434,188100,1881.00,22692976.7773438,25959.5356529247
435,188201,1882.01,8354825.63183594,17041.6062032653
436,188202,1882.02,8177322.12304688,11794.8835918162
437,188300,1883.00,9933262.07421875,12689.0294094181
438,189101,1891.01,4254115.40332031,8256.53744050161
439,189102,1891.02,6761960.41699219,12162.0144290586
440,189201,1892.01,3505709.45605469,7950.84190482215
441,189202,1892.02,11136029.9873047,17379.2878964413
442,189300,1893.00,20450347.984375,25805.7447185878
443,189400,1894.00,15572866.7939453,29227.4157560926
444,189501,1895.01,3691369.70117188,9296.86458547381
445,189502,1895.02,2683324.51660156,7299.36695588077
446,189600,1896.00,11523874.0087891,20188.0454218713
447,189702,1897.02,15699524.8515625,23121.728291315
448,189703,1897.03,36424459.5439453,43353.9644357707
449,189704,1897.04,10477813.7617188,25872.9266492986
450,189801,1898.01,4421018.98828125,10113.9342739878
451,189802,1898.02,3433588.16308594,7873.14634626519
452,189903,1899.03,903792.735351562,4148.74618009788
